month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2024-12,DISPATCHREGIONSUM,AVAILABLE,8928,1.0,2024-11-30T14:05:00Z,2024-12-31T14:00:00Z,
2024-12,DISPATCHINTERCONNECTORRES,AVAILABLE,8928,1.0,2024-11-30T14:05:00Z,2024-12-31T14:00:00Z,
2024-12,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-12,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2024-12,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-12,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2024-12,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2024-12,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-12,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-01,DISPATCHPRICE,MISSING,0,,,,
2025-01,DISPATCHREGIONSUM,MISSING,0,,,,
2025-01,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-01,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-01,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-01,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-01,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-01,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-02,DISPATCHPRICE,MISSING,0,,,,
2025-02,DISPATCHREGIONSUM,MISSING,0,,,,
2025-02,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-02,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-02,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-02,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-02,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-02,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-03,DISPATCHPRICE,MISSING,0,,,,
2025-03,DISPATCHREGIONSUM,MISSING,0,,,,
2025-03,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-03,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-03,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-03,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-03,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-03,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-04,DISPATCHPRICE,MISSING,0,,,,
2025-04,DISPATCHREGIONSUM,MISSING,0,,,,
2025-04,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-04,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-04,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-04,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-04,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-04,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-05,DISPATCHPRICE,MISSING,0,,,,
2025-05,DISPATCHREGIONSUM,MISSING,0,,,,
2025-05,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-05,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-05,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-05,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-05,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-05,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-06,DISPATCHPRICE,MISSING,0,,,,
2025-06,DISPATCHREGIONSUM,MISSING,0,,,,
2025-06,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-06,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-06,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-06,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-06,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-06,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-07,DISPATCHPRICE,MISSING,0,,,,
2025-07,DISPATCHREGIONSUM,MISSING,0,,,,
2025-07,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2025-07,DISPATCHCONSTRAINT,MISSING,0,,,,
2025-07,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2025-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2025-07,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2025-07,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2025-07,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2025-07,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2025-08,DISPATCHPRICE,MISSING,0,,,,
