month,dataset,dataset_status,lineage_hash,source_lineage_complete
2023-02,WEATHER,BLOCKED_EXTERNAL,,True
2023-02,FCAS,BLOCKED_EXTERNAL,,True
2023-03,DISPATCHPRICE,MISSING,,False
2023-03,DISPATCHREGIONSUM,MISSING,,False
2023-03,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-03,DISPATCHCONSTRAINT,MISSING,,False
2023-03,DISPATCH_UNIT_SCADA,MISSING,,False
2023-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2023-03,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2023-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2023-03,WEATHER,BLOCKED_EXTERNAL,,True
2023-03,FCAS,BLOCKED_EXTERNAL,,True
2023-04,DISPATCHPRICE,MISSING,,False
2023-04,DISPATCHREGIONSUM,MISSING,,False
2023-04,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-04,DISPATCHCONSTRAINT,MISSING,,False
2023-04,DISPATCH_UNIT_SCADA,MISSING,,False
2023-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2023-04,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2023-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2023-04,WEATHER,BLOCKED_EXTERNAL,,True
2023-04,FCAS,BLOCKED_EXTERNAL,,True
2023-05,DISPATCHPRICE,MISSING,,False
2023-05,DISPATCHREGIONSUM,MISSING,,False
2023-05,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-05,DISPATCHCONSTRAINT,MISSING,,False
2023-05,DISPATCH_UNIT_SCADA,MISSING,,False
2023-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2023-05,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2023-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2023-05,WEATHER,BLOCKED_EXTERNAL,,True
2023-05,FCAS,BLOCKED_EXTERNAL,,True
2023-06,DISPATCHPRICE,MISSING,,False
2023-06,DISPATCHREGIONSUM,MISSING,,False
2023-06,DISPATCHINTERCONNECTORRES,MISSING,,False
2023-06,DISPATCHCONSTRAINT,MISSING,,False
